classifier,type,training,flip_rate,mean_flip_delta,model
RoBERTa-Twitter,RoBERTa,Twitter,0.0798039901995099,0.0030070449198548,ablation_without_irony
Bert-Kaggle,Bert,Kaggle,0.4070703535176759,0.3330832708954269,ablation_without_irony
RoBERTa-News,RoBERTa,News,0.1876093804690234,0.0443384005007812,ablation_without_irony
RoBERTa-Twitter,RoBERTa,Twitter,0.0836541827091354,0.0014195952500585,ablation_without_overstatement
Bert-Kaggle,Bert,Kaggle,0.407770388519426,0.333467179509698,ablation_without_overstatement
RoBERTa-News,RoBERTa,News,0.1890094504725236,0.04479602591575,ablation_without_overstatement
RoBERTa-Twitter,RoBERTa,Twitter,0.0819040952047602,0.0033415563673166,ablation_without_rhetorical_question
Bert-Kaggle,Bert,Kaggle,0.4063703185159258,0.3329207949968831,ablation_without_rhetorical_question
RoBERTa-News,RoBERTa,News,0.1900595029751487,0.04572479041423,ablation_without_rhetorical_question
RoBERTa-Twitter,RoBERTa,Twitter,0.0773538676933846,0.0007991985420184,ablation_without_sarcasm
Bert-Kaggle,Bert,Kaggle,0.4116205810290514,0.3363741045654091,ablation_without_sarcasm
RoBERTa-News,RoBERTa,News,0.1928596429821491,0.0450065191241882,ablation_without_sarcasm
RoBERTa-Twitter,RoBERTa,Twitter,0.080154007700385,0.0025982216057929,ablation_without_satire
Bert-Kaggle,Bert,Kaggle,0.4123206160308015,0.3350839172996839,ablation_without_satire
RoBERTa-News,RoBERTa,News,0.1918095904795239,0.0457199425767425,ablation_without_satire
RoBERTa-Twitter,RoBERTa,Twitter,0.0819040952047602,0.0031806237429724,ablation_without_understatement
Bert-Kaggle,Bert,Kaggle,0.4098704935246762,0.3367963686329858,ablation_without_understatement
RoBERTa-News,RoBERTa,News,0.1893594679733986,0.0442598393049363,ablation_without_understatement
RoBERTa-Twitter,RoBERTa,Twitter,0.0840042002100105,0.0050527585691866,bart_base
Bert-Kaggle,Bert,Kaggle,0.4182709135456773,0.3448851630326372,bart_base
RoBERTa-News,RoBERTa,News,0.2170108505425271,0.04935760173841,bart_base
RoBERTa-Twitter,RoBERTa,Twitter,0.1305565278263913,0.0367473971605885,bart_base_ce
Bert-Kaggle,Bert,Kaggle,0.1785089254462723,0.0265309414039093,bart_base_ce
RoBERTa-News,RoBERTa,News,0.0339516975848792,-0.0924488202983948,bart_base_ce
RoBERTa-Twitter,RoBERTa,Twitter,0.1260063003150157,0.0299396226779121,bart_base_ce_rl
Bert-Kaggle,Bert,Kaggle,0.3955197759887994,0.3188669669448724,bart_base_ce_rl
RoBERTa-News,RoBERTa,News,0.0822541127056352,-0.0631190465387031,bart_base_ce_rl
RoBERTa-Twitter,RoBERTa,Twitter,0.088204410220511,0.006316976089097,bart_base_rl
Bert-Kaggle,Bert,Kaggle,0.3990199509975499,0.3293828980297653,bart_base_rl
RoBERTa-News,RoBERTa,News,0.2635631781589079,0.0717845207166955,bart_base_rl
RoBERTa-Twitter,RoBERTa,Twitter,0.0840042002100105,0.006526771107461,joint
Bert-Kaggle,Bert,Kaggle,0.4112705635281764,0.3296206174173846,joint
RoBERTa-News,RoBERTa,News,0.2236611830591529,0.0541038982385015,joint
RoBERTa-Twitter,RoBERTa,Twitter,0.136506825341267,0.0383024215280988,llama_3_2_1b
Bert-Kaggle,Bert,Kaggle,0.1631081554077703,0.012522862889694,llama_3_2_1b
RoBERTa-News,RoBERTa,News,0.048302415120756,-0.0724766645808715,llama_3_2_1b
RoBERTa-Twitter,RoBERTa,Twitter,0.0843542177108855,0.0037491673516943,t5_base_joint
Bert-Kaggle,Bert,Kaggle,0.416170808540427,0.3368796505083519,t5_base_joint
RoBERTa-News,RoBERTa,News,0.2124606230311515,0.0506874784790722,t5_base_joint
RoBERTa-Twitter,RoBERTa,Twitter,0.08050402520126,0.003804715730362,t5_control
Bert-Kaggle,Bert,Kaggle,0.4091704585229261,0.3309454425965984,t5_control
RoBERTa-News,RoBERTa,News,0.2026601330066503,0.0476400602894476,t5_control
