id,input,output,subtype,human_sarcasm_removed_1,human_sarcasm_removed_2,human_flipped_strict,human_flipped_lenient,meaning_change,human_meaning_preserved,human_strict_success,hard_flipped_roberta_twitter,flip_delta_roberta_twitter,hard_flipped_bert_kaggle,flip_delta_bert_kaggle,hard_flipped_roberta_news,flip_delta_roberta_news,hard_flipped,inp_irony_score,out_irony_score,flip_delta,similarity,bleu,perplexity,edit_dist_raw,edit_dist_norm,paraphrase_score
1,NASA Plays Incredible April Fools' Joke Of Once Again Pretending To Go To The Moon,nasa plays April Fools' joke of pretending to go to the moon.,satire,0,0,0,0,0,1,0,0,-0.019692301750183105,1,0.4990304708480835,0,0.1606566309928894,0,0.915711522102356,0.9354038238525391,-0.019692301750183105,0.9637144804000854,0.02805302949141967,57.348087310791016,13,0.8666666666666667,0.9366793696601137
2,"Pope Leo Explains God Does Not Listen To People Who Wage War So Long As You Don’t Count Moses, David, Joshua, Elijah, Saul, Gideon, Samson, Or Anyone Else In Bible",pope leo explains that God does not listen to people who wage war,satire,1,1,1,1,0,1,1,0,-0.6491420269012451,0,0.2435484528541565,0,0.00955820083618164,0,0.08911776542663574,0.7382597923278809,-0.6491420269012451,0.8820839524269104,0.00420191367441466,140.74127197265625,30,1.0,0.878377511805226
3,Black Half Of Tiger Woods Tased By Cops After Asian Half Crashes Car,Black half of tiger Woods was tased by cops after Asian half Crashes a car.,satire,0,0,0,0,0,1,0,0,-0.1242477297782898,0,0.3304362893104553,0,0.04877305030822754,0,0.36086392402648926,0.48511165380477905,-0.1242477297782898,0.9702281951904297,0.018693000799960027,406.9839782714844,11,0.7333333333333333,0.9520917187615912
4,Report: The Reason TV Shows Take So Long To Make Now Is Because They Film In The Dark,report indicates that the reason TV shows take so long to make now is because they are,irony,0,0,0,0,1,0,0,0,-0.09620785713195801,0,0.02198922634124756,0,0.1338176727294922,0,0.8680497407913208,0.9642575979232788,-0.09620785713195801,0.8027968406677246,0.010845665754777514,39.393436431884766,18,1.0,0.7940899744648511
5,"BREAKING: United Nations praises Singapore for having numerous political scandals:  ""They're behaving normally now""",BREAKING: the united Nations praises Singapore for numerous political scandals.,satire,0,0,0,0,0,1,0,0,0.01678258180618286,0,0.20308643579483032,0,-0.03697478771209717,0,0.9887691736221313,0.9719865918159485,0.01678258180618286,0.9336631298065186,0.21763141204756337,928.2578735351562,8,0.5714285714285714,0.7304687044899785
6,CAMPUS BEAT: NUS enters Top 10 in ranking of world's universities who base their identity on their rankings,NCUS entered the top 10 in a ranking of world's universities who base their identity on their rankings.,satire,0,0,0,0,1,0,0,0,-0.07775115966796875,1,0.5102163553237915,0,-0.16980844736099243,0,0.8769819736480713,0.95473313331604,-0.07775115966796875,0.8105138540267944,0.549995519064483,94.00180053710938,7,0.3888888888888889,0.36473486617237305
7,"Opinion: An open letter to Donald Trump, bird enthusiast",opinion: an open letter to don trump and bird enthusiast,irony,0,0,0,0,0,1,0,0,-0.10123008489608765,0,0.001491546630859375,0,0.088828444480896,0,0.2088627815246582,0.31009286642074585,-0.10123008489608765,0.9271873831748962,0.13134549472120793,762.968017578125,5,0.5,0.8054054976325273
8,Karoline Leavitt said Americans were smart enough not to accept the word of a constantly lying regime and the jokes really did write themselves,Karoline Leavitt said Americans were not smart enough to accept the word of a constantly lying regime and the jokes were written themselves.,sarcasm,0,0,0,0,1,0,0,0,0.0961078405380249,0,0.0011317729949951172,0,0.06668287515640259,0,0.84549480676651,0.7493869662284851,0.0961078405380249,0.9796974658966064,0.6522125981013674,118.73641204833984,6,0.25,0.3407264363108549
9,Surprise! Big Tech has been a bit rubbish at enforcing Australia’s kids social media ban,big tech is failing to enforce Australia's children social media ban.,irony,1,1,1,1,0,1,1,0,0.0017823576927185059,0,0.00513845682144165,0,0.036163330078125,0,0.9551499485969543,0.9533675909042358,0.0017823576927185059,0.880212664604187,0.027710919541451013,260.5328369140625,13,0.8666666666666667,0.8558211622759742
10,Microsoft startup credits are the gift that keeps on billing unsuspecting users,microsoft startup credits are the gift that keeps on billing unsuspecting users.,sarcasm,0,0,0,0,0,1,0,0,-0.0014805197715759277,0,0.0016428232192993164,0,0.044885098934173584,0,0.9520901441574097,0.9535706639289856,-0.0014805197715759277,0.978164553642273,0.8070557274927982,402.3163146972656,2,0.16666666666666666,0.18873124819484013
11,Smart mirror shows dumb Windows in elevator,A smart mirror shows Windows in the elevator.,irony,1,1,1,1,1,0,0,0,0.023270070552825928,1,0.637591540813446,0,-0.0849158763885498,0,0.8741486072540283,0.8508785367012024,0.023270070552825928,0.8906501531600952,0.08307018474412793,999.1321411132812,5,0.625,0.8166636803947003
12,"AIOps is so powerful, vendors are building tools to clean up after agents break your infrastructure",AIOps is helping vendors clean up after agents break your infrastructure.,sarcasm,1,1,1,1,0,1,1,0,0.011442840099334717,0,0.0006707906723022461,0,-0.01799255609512329,0,0.9748117327690125,0.9633688926696777,0.011442840099334717,0.947465717792511,0.3394734963795361,803.0664672851562,7,0.4375,0.6258262178737405
