id,input,output,subtype,human_sarcasm_removed_1,human_sarcasm_removed_2,human_flipped_strict,human_flipped_lenient,meaning_change,human_meaning_preserved,human_strict_success,hard_flipped_roberta_twitter,flip_delta_roberta_twitter,hard_flipped_bert_kaggle,flip_delta_bert_kaggle,hard_flipped_roberta_news,flip_delta_roberta_news,hard_flipped,inp_irony_score,out_irony_score,flip_delta,similarity,bleu,perplexity,edit_dist_raw,edit_dist_norm,paraphrase_score
1,NASA Plays Incredible April Fools' Joke Of Once Again Pretending To Go To The Moon,nasa plays 'April Fools' joke again',satire,1,1,1,1,1,0,0,0,0.1655290722846985,1,0.4396028518676758,0,0.2528190612792969,0,0.915711522102356,0.7501824498176575,0.1655290722846985,0.8883143663406372,0.009109250643152446,354.4402160644531,14,0.9333333333333333,0.8802224881277272
2,"Pope Leo Explains God Does Not Listen To People Who Wage War So Long As You Don’t Count Moses, David, Joshua, Elijah, Saul, Gideon, Samson, Or Anyone Else In Bible",pope leo explains that God does not listen to people who wage war,satire,1,1,1,1,0,1,1,0,-0.6491420269012451,0,0.2435484528541565,0,0.00955820083618164,0,0.08911776542663574,0.7382597923278809,-0.6491420269012451,0.8820838928222656,0.00420191367441466,140.74127197265625,30,1.0,0.8783774524510348
3,Black Half Of Tiger Woods Tased By Cops After Asian Half Crashes Car,black half of tiger woods tased by cops after Asian half crashes car,satire,0,0,0,0,0,1,0,0,-0.21029728651046753,0,0.0,0,0.01793968677520752,0,0.36086392402648926,0.5711612105369568,-0.21029728651046753,1.0,0.01553712569276035,1261.6171875,12,0.9230769230769231,0.9844628743072397
4,Report: The Reason TV Shows Take So Long To Make Now Is Because They Film In The Dark,report: the reason tv shows take so long to make,irony,1,1,1,1,0,1,1,0,-0.05618870258331299,0,0.02340775728225708,1,0.2194969654083252,0,0.8680497407913208,0.9242384433746338,-0.05618870258331299,0.8190176486968994,0.0,92.51651763916016,18,1.0,0.8190176486968994
5,"BREAKING: United Nations praises Singapore for having numerous political scandals:  ""They're behaving normally now""",u.n. praises singapore for having numerous political scandals,satire,1,1,1,1,0,1,1,0,0.03153008222579956,1,0.4789755344390869,0,0.040584564208984375,0,0.9887691736221313,0.9572390913963318,0.03153008222579956,0.903427243232727,0.17267606045625936,601.2429809570312,9,0.6428571428571429,0.747426985962441
6,CAMPUS BEAT: NUS enters Top 10 in ranking of world's universities who base their identity on their rankings,nus enters top 10 in ranking of world's universities,satire,1,1,1,1,1,0,0,0,0.018727123737335205,0,-0.28994399309158325,0,0.09890413284301758,0,0.8769819736480713,0.8582548499107361,0.018727123737335205,0.9063241481781006,0.22458068077762677,273.3939514160156,11,0.6111111111111112,0.7027812539750601
7,"Opinion: An open letter to Donald Trump, bird enthusiast",opinion: an open letter to donald donald trump,irony,1,1,1,1,0,1,1,0,-0.020463943481445312,0,0.001553177833557129,0,0.09414267539978027,0,0.2088627815246582,0.22932672500610352,-0.020463943481445312,0.6857082843780518,0.12131756417616475,194.452392578125,6,0.6666666666666666,0.6025198255818897
8,Karoline Leavitt said Americans were smart enough not to accept the word of a constantly lying regime and the jokes really did write themselves,karolina leavitt: americans are smart enough not to accept the word of a constantly lying regime,sarcasm,1,1,1,1,0,1,1,0,0.1810305118560791,0,-0.017724573612213135,0,0.16711342334747314,0,0.84549480676651,0.6644642949104309,0.1810305118560791,0.8518822193145752,0.43801220470284363,213.98251342773438,12,0.5,0.47874741028544676
9,Surprise! Big Tech has been a bit rubbish at enforcing Australia’s kids social media ban,big tech is failing to enforce australia’s kids social media ban,irony,1,1,1,1,0,1,1,0,0.046232640743255615,0,0.004735112190246582,0,0.024044692516326904,0,0.9551499485969543,0.9089173078536987,0.046232640743255615,0.9377663135528564,0.1630971037128253,531.622802734375,11,0.7333333333333333,0.7848193438529324
10,Microsoft startup credits are the gift that keeps on billing unsuspecting users,microsoft startup credits are the gift that keeps on billing unsuspecting users,sarcasm,0,0,0,0,0,1,0,0,-0.0029622316360473633,0,0.0,0,0.03845691680908203,0,0.9520901441574097,0.955052375793457,-0.0029622316360473633,1.000000238418579,0.9036020036098448,663.0257568359375,1,0.08333333333333333,0.09639799639015523
11,Smart mirror shows dumb Windows in elevator,smart mirror shows dumb windows in elevator,irony,0,0,0,0,0,1,0,0,-0.02212810516357422,0,0.0,0,0.011486053466796875,0,0.8741486072540283,0.8962767124176025,-0.02212810516357422,0.9999999403953552,0.20556680845025987,5363.2841796875,2,0.2857142857142857,0.794433144197832
12,"AIOps is so powerful, vendors are building tools to clean up after agents break your infrastructure","aiops is so powerful, vendors are building tools to clean up after agents break your infrastructure",sarcasm,0,0,0,0,0,1,0,0,-0.006968379020690918,0,0.0,0,-0.0013398528099060059,0,0.9748117327690125,0.9817801117897034,-0.006968379020690918,1.000000238418579,0.9306048591020997,317.36126708984375,1,0.0625,0.06939514089790033
13,Google presses play on 30-second Gemini musical slop generator,google presses play on 30-second Gemini musical slop generator,overstatement,0,0,0,0,0,1,0,0,0.11890214681625366,0,0.0,0,0.06767970323562622,0,0.40866005420684814,0.2897579073905945,0.11890214681625366,1.0,0.8633400213704505,2797.029296875,1,0.1111111111111111,0.13665997862954948
14,Microsoft's Valentine's gift to admins: 6 exploited zero-day fixes,microsoft's valentine's day gift to admins: 6 exploited zero-day fixes,sarcasm,0,0,0,0,0,1,0,0,-0.014197051525115967,0,-0.000775456428527832,0,0.0036956071853637695,0,0.9267433881759644,0.9409404397010803,-0.014197051525115967,0.9947147965431213,0.6389431042462724,214.58863830566406,3,0.3,0.3591486366001601
15,"Microsoft actually does something useful, adds Sysmon to Windows",microsoft adds sysmon to windows 10,sarcasm,1,1,1,1,0,1,1,0,0.15956562757492065,0,-0.31011927127838135,0,0.14230436086654663,0,0.9818928241729736,0.822327196598053,0.15956562757492065,0.780603289604187,0.02944656445786981,1080.22265625,8,0.8888888888888888,0.757617204520832
16,"For once, Supermicro has dodged drama and just delivered datacenters",supermicro has delivered datacenters for the first time,sarcasm,1,1,1,1,1,0,0,0,-0.003614366054534912,0,-0.022574901580810547,1,0.20708328485488892,0,0.957955539226532,0.9615699052810669,-0.003614366054534912,0.7653472423553467,0.05062667121584364,384.9292907714844,9,0.9,0.72660025915067
