id,input,output,subtype,human_sarcasm_removed_1,human_sarcasm_removed_2,human_flipped_strict,human_flipped_lenient,meaning_change,human_meaning_preserved,human_strict_success,hard_flipped_roberta_twitter,flip_delta_roberta_twitter,hard_flipped_bert_kaggle,flip_delta_bert_kaggle,hard_flipped_roberta_news,flip_delta_roberta_news,hard_flipped,inp_irony_score,out_irony_score,flip_delta,similarity,bleu,perplexity,edit_dist_raw,edit_dist_norm,paraphrase_score
1,NASA Plays Incredible April Fools' Joke Of Once Again Pretending To Go To The Moon,nasa plays 'incredible' joke about going to moon,satire,0,1,0,1,0,1,0,0,-0.02967125177383423,1,0.6302570700645447,0,0.23584842681884766,0,0.915711522102356,0.9453827738761902,-0.02967125177383423,0.8406550884246826,0.0,375.3043212890625,15,1.0,0.8406550884246826
2,"Pope Leo Explains God Does Not Listen To People Who Wage War So Long As You Don’t Count Moses, David, Joshua, Elijah, Saul, Gideon, Samson, Or Anyone Else In Bible",pope leo explains why god doesn't listen to people who wage war,satire,1,1,1,1,0,1,1,0,-0.7000359892845154,1,0.7116809487342834,0,-0.0012759566307067871,0,0.08911776542663574,0.7891537547111511,-0.7000359892845154,0.872991144657135,0.0,181.02508544921875,30,1.0,0.872991144657135
3,Black Half Of Tiger Woods Tased By Cops After Asian Half Crashes Car,black half of tiger woods is tased by cops after asia half wrecks car,satire,0,0,0,0,0,1,0,0,-0.21670985221862793,0,0.2933664917945862,0,0.06456613540649414,0,0.36086392402648926,0.5775737762451172,-0.21670985221862793,0.9319272637367249,0.0,586.4989013671875,14,1.0,0.9319272637367249
4,Report: The Reason TV Shows Take So Long To Make Now Is Because They Film In The Dark,report: why tv shows take so long to make,irony,1,1,1,1,0,1,1,0,0.0060315728187561035,0,0.027289390563964844,1,0.24299395084381104,0,0.8680497407913208,0.8620181679725647,0.0060315728187561035,0.8199148178100586,0.0,73.83984375,18,1.0,0.8199148178100586
5,"BREAKING: United Nations praises Singapore for having numerous political scandals:  ""They're behaving normally now""",the united nations praises singapore for having a number of political scandals,satire,0,1,0,1,0,1,0,0,0.013920605182647705,1,0.7605427503585815,0,-0.0036988258361816406,0,0.9887691736221313,0.9748485684394836,0.013920605182647705,0.9325360655784607,0.036260056295236785,666.3263549804688,11,0.7857142857142857,0.8987222553432471
6,CAMPUS BEAT: NUS enters Top 10 in ranking of world's universities who base their identity on their rankings,campus beat: nus enters top 10 list of world's top universities,satire,1,1,1,1,0,1,1,0,0.003972291946411133,1,0.3960791826248169,0,0.03780919313430786,0,0.8769819736480713,0.8730096817016602,0.003972291946411133,0.9244562983512878,0.02652723531688302,413.7515563964844,14,0.7777777777777778,0.8999330285847486
7,"Opinion: An open letter to Donald Trump, bird enthusiast","opinion: open letter to donald trump, bird enthusiast",irony,0,0,0,0,0,1,0,0,0.044106483459472656,0,-0.003757655620574951,0,0.09617120027542114,0,0.2088627815246582,0.16475629806518555,0.044106483459472656,0.9903405904769897,0.1525487608028145,311.7197265625,4,0.4444444444444444,0.8392653606269974
8,Karoline Leavitt said Americans were smart enough not to accept the word of a constantly lying regime and the jokes really did write themselves,karoline leavitt: americans are smart enough not to accept the word of a constantly lying regime,sarcasm,1,1,1,1,0,1,1,0,0.15082556009292603,0,-0.02478092908859253,0,0.1762380599975586,0,0.84549480676651,0.694669246673584,0.15082556009292603,0.8707296848297119,0.43801220470284363,196.2698516845703,12,0.5,0.4893394558772376
9,Surprise! Big Tech has been a bit rubbish at enforcing Australia’s kids social media ban,big tech tries to enforce australian kids social media ban,irony,1,1,1,1,1,0,0,0,-0.019751310348510742,0,-0.004040837287902832,0,0.020162880420684814,0,0.9551499485969543,0.9749012589454651,-0.019751310348510742,0.9213709831237793,0.1593301391270729,350.3011779785156,11,0.7333333333333333,0.7745688161950196
10,Microsoft startup credits are the gift that keeps on billing unsuspecting users,machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj,sarcasm,0,0,0,0,1,0,0,1,0.8348785042762756,0,-0.541612982749939,1,0.12427335977554321,1,0.9520901441574097,0.11721163988113403,0.8348785042762756,-0.028410380706191063,0.0,1.425406575202942,256,1.0,0.0
11,Smart mirror shows dumb Windows in elevator,smart mirror shows dumb windows in elevator,irony,0,0,0,0,0,1,0,0,-0.02212810516357422,0,0.0,0,0.011486053466796875,0,0.8741486072540283,0.8962767124176025,-0.02212810516357422,0.9999998807907104,0.20556680845025987,5363.2841796875,2,0.2857142857142857,0.7944330968459238
