id,input,output,subtype,human_sarcasm_removed_1,human_sarcasm_removed_2,human_flipped_strict,human_flipped_lenient,meaning_change,human_meaning_preserved,human_strict_success,hard_flipped_roberta_twitter,flip_delta_roberta_twitter,hard_flipped_bert_kaggle,flip_delta_bert_kaggle,hard_flipped_roberta_news,flip_delta_roberta_news,hard_flipped,flip_delta,similarity,bleu,perplexity,edit_dist_norm,paraphrase_score,is_surface_edit,error_type,clf_correct
1,NASA Plays Incredible April Fools' Joke Of Once Again Pretending To Go To The Moon,nasa plays 'April Fools' joke again',satire,1,1,1,1,1,0,0,0,0.1655290722846985,1,0.4396028518676758,0,0.2528190612792969,0,0.1655290722846985,0.8883143663406372,0.0091092506431524,354.4402160644531,0.9333333333333332,0.8802224881277272,False,FN,0
2,"Pope Leo Explains God Does Not Listen To People Who Wage War So Long As You Don’t Count Moses, David, Joshua, Elijah, Saul, Gideon, Samson, Or Anyone Else In Bible",pope leo explains that God does not listen to people who wage war,satire,1,1,1,1,0,1,1,0,-0.6491420269012451,0,0.2435484528541565,0,0.0095582008361816,0,-0.6491420269012451,0.8820838928222656,0.0042019136744146,140.74127197265625,1.0,0.8783774524510348,False,FN,0
3,Black Half Of Tiger Woods Tased By Cops After Asian Half Crashes Car,black half of tiger woods tased by cops after Asian half crashes car,satire,0,0,0,0,0,1,0,0,-0.2102972865104675,0,0.0,0,0.0179396867752075,0,-0.2102972865104675,1.0,0.0155371256927603,1261.6171875,0.9230769230769232,0.9844628743072396,True,TN,1
4,Report: The Reason TV Shows Take So Long To Make Now Is Because They Film In The Dark,report: the reason tv shows take so long to make,irony,1,1,1,1,0,1,1,0,-0.0561887025833129,0,0.023407757282257,1,0.2194969654083252,0,-0.0561887025833129,0.8190176486968994,0.0,92.51651763916016,1.0,0.8190176486968994,False,FN,0
5,"BREAKING: United Nations praises Singapore for having numerous political scandals:  ""They're behaving normally now""",u.n. praises singapore for having numerous political scandals,satire,1,1,1,1,0,1,1,0,0.0315300822257995,1,0.4789755344390869,0,0.0405845642089843,0,0.0315300822257995,0.903427243232727,0.1726760604562593,601.2429809570312,0.6428571428571429,0.747426985962441,False,FN,0
6,CAMPUS BEAT: NUS enters Top 10 in ranking of world's universities who base their identity on their rankings,nus enters top 10 in ranking of world's universities,satire,1,1,1,1,1,0,0,0,0.0187271237373352,0,-0.2899439930915832,0,0.0989041328430175,0,0.0187271237373352,0.9063241481781006,0.2245806807776267,273.3939514160156,0.6111111111111112,0.7027812539750601,False,FN,0
7,"Opinion: An open letter to Donald Trump, bird enthusiast",opinion: an open letter to donald donald trump,irony,1,1,1,1,0,1,1,0,-0.0204639434814453,0,0.0015531778335571,0,0.0941426753997802,0,-0.0204639434814453,0.6857082843780518,0.1213175641761647,194.452392578125,0.6666666666666666,0.6025198255818897,False,FN,0
8,Karoline Leavitt said Americans were smart enough not to accept the word of a constantly lying regime and the jokes really did write themselves,karolina leavitt: americans are smart enough not to accept the word of a constantly lying regime,sarcasm,1,1,1,1,0,1,1,0,0.1810305118560791,0,-0.0177245736122131,0,0.1671134233474731,0,0.1810305118560791,0.8518822193145752,0.4380122047028436,213.9825134277344,0.5,0.4787474102854467,False,FN,0
9,Surprise! Big Tech has been a bit rubbish at enforcing Australia’s kids social media ban,big tech is failing to enforce australia’s kids social media ban,irony,1,1,1,1,0,1,1,0,0.0462326407432556,0,0.0047351121902465,0,0.0240446925163269,0,0.0462326407432556,0.9377663135528564,0.1630971037128253,531.622802734375,0.7333333333333333,0.7848193438529324,False,FN,0
10,Microsoft startup credits are the gift that keeps on billing unsuspecting users,microsoft startup credits are the gift that keeps on billing unsuspecting users,sarcasm,0,0,0,0,0,1,0,0,-0.0029622316360473,0,0.0,0,0.038456916809082,0,-0.0029622316360473,1.000000238418579,0.9036020036098448,663.0257568359375,0.0833333333333333,0.0963979963901552,True,TN,1
