id,input,output,subtype,A,C,meaning_change,subtype_is_correct
1,NASA Plays Incredible April Fools' Joke Of Once Again Pretending To Go To The Moon,strategy: sarcasm rewrite: nasa plays 'April Fools' joke again',satire,1,1,1,0
2,"Pope Leo Explains God Does Not Listen To People Who Wage War So Long As You Don’t Count Moses, David, Joshua, Elijah, Saul, Gideon, Samson, Or Anyone Else In Bible",strategy: sarcasm rewrite: pope leo explains that God does not listen to people who wage war,satire,1,1,,0
3,Black Half Of Tiger Woods Tased By Cops After Asian Half Crashes Car,strategy: sarcasm rewrite: black half of tiger woods tased by cops after Asian half crashes car,satire,0,0,,0
4,Report: The Reason TV Shows Take So Long To Make Now Is Because They Film In The Dark,strategy: irony rewrite: report: the reason tv shows take so long to make,irony,1,1,,1
5,"BREAKING: United Nations praises Singapore for having numerous political scandals:  ""They're behaving normally now""",strategy: sarcasm rewrite: u.n. praises singapore for having numerous political scandals,satire,1,1,,0
6,CAMPUS BEAT: NUS enters Top 10 in ranking of world's universities who base their identity on their rankings,strategy: satire rewrite: nus enters top 10 in ranking of world's universities,satire,1,1,1,1
7,"Opinion: An open letter to Donald Trump, bird enthusiast",strategy: satire rewrite: opinion: an open letter to donald donald trump,irony,1,1,,0
8,Karoline Leavitt said Americans were smart enough not to accept the word of a constantly lying regime and the jokes really did write themselves,strategy: irony rewrite: karolina leavitt: americans are smart enough not to accept the word of a constantly lying regime,sarcasm,1,1,,0
9,Surprise! Big Tech has been a bit rubbish at enforcing Australia’s kids social media ban,strategy: sarcasm rewrite: big tech is failing to enforce australia’s kids social media ban,irony,1,1,,0
10,Microsoft startup credits are the gift that keeps on billing unsuspecting users,strategy: sarcasm rewrite: microsoft startup credits are the gift that keeps on billing unsuspecting users,sarcasm,0,0,,1
11,Smart mirror shows dumb Windows in elevator,strategy: irony rewrite: smart mirror shows dumb windows in elevator,irony,0,0,,1
12,"AIOps is so powerful, vendors are building tools to clean up after agents break your infrastructure","strategy: sarcasm rewrite: aiops is so powerful, vendors are building tools to clean up after agents break your infrastructure",sarcasm,0,0,,1
13,Google presses play on 30-second Gemini musical slop generator,strategy: satire rewrite: google presses play on 30-second Gemini musical slop generator,overstatement,0,0,,0
14,Microsoft's Valentine's gift to admins: 6 exploited zero-day fixes,strategy: satire rewrite: microsoft's valentine's day gift to admins: 6 exploited zero-day fixes,sarcasm,0,0,,0
