id,input,output,subtype,human_sarcasm_removed_1,human_sarcasm_removed_2,human_flipped_strict,human_flipped_lenient,meaning_change,human_meaning_preserved,human_strict_success,hard_flipped_roberta_twitter,flip_delta_roberta_twitter,hard_flipped_bert_kaggle,flip_delta_bert_kaggle,hard_flipped_roberta_news,flip_delta_roberta_news,hard_flipped,flip_delta,similarity,bleu,perplexity,edit_dist_norm,paraphrase_score,is_surface_edit,error_type,clf_correct
1,NASA Plays Incredible April Fools' Joke Of Once Again Pretending To Go To The Moon,nasa plays 'incredible' joke about going to moon,satire,0,1,0,1,0,1,0,0,-0.0296712517738342,1,0.6302570700645447,0,0.2358484268188476,0,-0.0296712517738342,0.8406550884246826,0.0,375.3043212890625,1.0,0.8406550884246826,False,TN,1
2,"Pope Leo Explains God Does Not Listen To People Who Wage War So Long As You Don’t Count Moses, David, Joshua, Elijah, Saul, Gideon, Samson, Or Anyone Else In Bible",pope leo explains why god doesn't listen to people who wage war,satire,1,1,1,1,0,1,1,0,-0.7000359892845154,1,0.7116809487342834,0,-0.0012759566307067,0,-0.7000359892845154,0.872991144657135,0.0,181.02508544921875,1.0,0.872991144657135,False,FN,0
3,Black Half Of Tiger Woods Tased By Cops After Asian Half Crashes Car,black half of tiger woods is tased by cops after asia half wrecks car,satire,0,0,0,0,0,1,0,0,-0.2167098522186279,0,0.2933664917945862,0,0.0645661354064941,0,-0.2167098522186279,0.9319272637367249,0.0,586.4989013671875,1.0,0.9319272637367249,False,TN,1
4,Report: The Reason TV Shows Take So Long To Make Now Is Because They Film In The Dark,report: why tv shows take so long to make,irony,1,1,1,1,0,1,1,0,0.0060315728187561,0,0.0272893905639648,1,0.242993950843811,0,0.0060315728187561,0.8199148178100586,0.0,73.83984375,1.0,0.8199148178100586,False,FN,0
5,"BREAKING: United Nations praises Singapore for having numerous political scandals:  ""They're behaving normally now""",the united nations praises singapore for having a number of political scandals,satire,0,1,0,1,0,1,0,0,0.0139206051826477,1,0.7605427503585815,0,-0.0036988258361816,0,0.0139206051826477,0.9325360655784608,0.0362600562952367,666.3263549804688,0.7857142857142857,0.8987222553432471,False,TN,1
6,CAMPUS BEAT: NUS enters Top 10 in ranking of world's universities who base their identity on their rankings,campus beat: nus enters top 10 list of world's top universities,satire,1,1,1,1,0,1,1,0,0.0039722919464111,1,0.3960791826248169,0,0.0378091931343078,0,0.0039722919464111,0.9244562983512878,0.026527235316883,413.7515563964844,0.7777777777777778,0.8999330285847486,False,FN,0
7,"Opinion: An open letter to Donald Trump, bird enthusiast","opinion: open letter to donald trump, bird enthusiast",irony,0,0,0,0,0,1,0,0,0.0441064834594726,0,-0.0037576556205749,0,0.0961712002754211,0,0.0441064834594726,0.9903405904769896,0.1525487608028145,311.7197265625,0.4444444444444444,0.8392653606269974,False,TN,1
8,Karoline Leavitt said Americans were smart enough not to accept the word of a constantly lying regime and the jokes really did write themselves,karoline leavitt: americans are smart enough not to accept the word of a constantly lying regime,sarcasm,1,1,1,1,0,1,1,0,0.150825560092926,0,-0.0247809290885925,0,0.1762380599975586,0,0.150825560092926,0.8707296848297119,0.4380122047028436,196.2698516845703,0.5,0.4893394558772376,False,FN,0
9,Surprise! Big Tech has been a bit rubbish at enforcing Australia’s kids social media ban,big tech tries to enforce australian kids social media ban,irony,1,1,1,1,1,0,0,0,-0.0197513103485107,0,-0.0040408372879028,0,0.0201628804206848,0,-0.0197513103485107,0.9213709831237792,0.1593301391270729,350.3011779785156,0.7333333333333333,0.7745688161950196,False,FN,0
10,Microsoft startup credits are the gift that keeps on billing unsuspecting users,machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj machiaj,sarcasm,0,0,0,0,1,0,0,1,0.8348785042762756,0,-0.541612982749939,1,0.1242733597755432,1,0.8348785042762756,-0.028410380706191,0.0,1.425406575202942,1.0,0.0,False,FP,0
