id,input,output
1,NASA Plays Incredible April Fools' Joke Of Once Again Pretending To Go To The Moon,nasa plays April Fools' joke of pretending to go to the moon.
2,"Pope Leo Explains God Does Not Listen To People Who Wage War So Long As You Don’t Count Moses, David, Joshua, Elijah, Saul, Gideon, Samson, Or Anyone Else In Bible",pope leo explains that God does not listen to people who wage war
3,Black Half Of Tiger Woods Tased By Cops After Asian Half Crashes Car,Black half of tiger Woods was tased by cops after Asian half Crashes a car.
4,Report: The Reason TV Shows Take So Long To Make Now Is Because They Film In The Dark,report indicates that the reason TV shows take so long to make now is because they are
5,"BREAKING: United Nations praises Singapore for having numerous political scandals:  ""They're behaving normally now""",BREAKING: the united Nations praises Singapore for numerous political scandals.
6,CAMPUS BEAT: NUS enters Top 10 in ranking of world's universities who base their identity on their rankings,NCUS entered the top 10 in a ranking of world's universities who base their identity on their rankings.
7,"Opinion: An open letter to Donald Trump, bird enthusiast",opinion: an open letter to don trump and bird enthusiast
8,Karoline Leavitt said Americans were smart enough not to accept the word of a constantly lying regime and the jokes really did write themselves,Karoline Leavitt said Americans were not smart enough to accept the word of a constantly lying regime and the jokes were written themselves.
9,Surprise! Big Tech has been a bit rubbish at enforcing Australia’s kids social media ban,big tech is failing to enforce Australia's children social media ban.
10,Microsoft startup credits are the gift that keeps on billing unsuspecting users,microsoft startup credits are the gift that keeps on billing unsuspecting users.
11,Smart mirror shows dumb Windows in elevator,A smart mirror shows Windows in the elevator.
12,"AIOps is so powerful, vendors are building tools to clean up after agents break your infrastructure",AIOps is helping vendors clean up after agents break your infrastructure.
13,Google presses play on 30-second Gemini musical slop generator,google presses play on a 30-second Gemini musical slop generator.
14,Microsoft's Valentine's gift to admins: 6 exploited zero-day fixes,microsoft's valentine's gift to admins
15,"Microsoft actually does something useful, adds Sysmon to Windows",microsoft added sysmon to Windows.
16,"For once, Supermicro has dodged drama and just delivered datacenters",supermicro delivered datacenters
17,"Firefox makes AI optional, like it probably should have been all along",firefox makes AI optional
18,Microsoft's 'atypical' emergency Windows patches are becoming awfully typical,microsoft's emergency Windows patches are becoming more common.
19,Experiment suggests AI chatbot would save insurance agents a whopping 3 minutes a day,Experiment suggests AI chatbot would save insurance agents a whopping 3 minutes a day.
20,The Rule Of Law Joins America’s Dead Pets On The Rainbow Bridge,the rule of law will join america's dead pets on the rainbow bridge.
21,ABA Politely Tells President He Can’t Insult Judges Because He Lost Bigly,aBA tells president he cannot Insult judges because he lost
22,ICE Can Bust Into Houses Without Warrants Based On Memo So Cool And Legal They Keep It Hidden,ICE can bust into houses without warrants based on memo.
23,Trump Wants To Regulate AI On A National Basis — Because What Could Go Wrong There?,trump wants to regulate AI on a national Basis
24,Maybe That Whole ‘Vetting’ Thing Is Actually A Pretty Big Deal,
25,Trump Defends Sacred Right To Starve Kids For Separation Of Powers,trump defended the Sacred Right to Starve Kids for Separation of Powers.
26,The 4th TikTok Delay Is The Charm!,the 4th tikTok delay
27,Kash Patel Makes FBI Great Again By Getting It Sued,kash p Patel makes the fbi great again
28,"Surprise, Surprise, The TikTok Ban Is Delayed A Third Time",
29,"ICE Arrests Newark Mayor For … Ummm, Body Slam?",ICE arrested the new nark mayor for body slam.
30,Trump Dumps Ed Martin In Favor Of ‘Shit Sandwich Senate Will Eat’,trump dumps ed Martin in favor of 'Shit Sandwich Senate will eat'.
31,Even Alan Dershowitz Thinks Trump’s Latest Idea Is Unconstitutional,Alan Dershowitz believes trump's latest idea is unconstitutional.
32,"Perhaps The Greatest Stock Market Correction Ever, Truly Terrific, Remember To Thank Your FAVORITE PRESIDENT!",the greatest stock market correction
33,Pam Bondi’s Brother And Ed Martin’s Assistant Running To Lead D.C. Bar… No Way This Is A Bad Idea!,pam bondi's brother and ed Martin’s assistant are running to lead a d.C. bar.
34,God squad' waives animal protections to expand oil drilling in Gulf of Mexico,God squad waives animal protections to expand oil drilling in the Gulf of Mexico.
35,Fewer heat-related deaths in 2025; warmest summer ever packing less heat?,fewer heat-related deaths in 2025
36,Comedians tell ministers lack of funding is no laughing matter,Comedians tell ministers that lack of funding is no laughing matter.
37,"Meta knowingly harmed children's mental health, US jury finally decides in landmark ruling","Meta knowingly harmed children's mental health, a US jury ruled in a landmark ruling."
38,"Trump’s FBI Pick Has Some, Erm, Interesting Entries On His Resume",trump's fbi pick
39,Alina Habba Did What She Does Best (Lie),alina habba did
40,"New year, new bug – rivalry between devs led to a deep-code disaster","new year, new bug"
41,Microsoft puts the 'why?' in Wi-Fi with latest Windows patch,microsoft puts the 'why?' in Wi-Fi with the latest Windows patch.
42,End of Windows 10 support is the perfect time for the Windows 11 installer to fail,End of Windows 10 support will cause the Windows 11 installer to fail.
43,PLACEHOLDER ONLY Someone please write witty headline here,
44,"Caffeine pouch craze: A teenage trend, unsurprisingly, troubling some experts",caffeine pouch craze
45,Union and government to restart talks on ending doctor dispute (again),Union and government will restart talks on ending a doctor dispute.
46,"Nasa's mega Moon rocket arrives at launch pad for Artemis II mission, hopefully to launch",nasa's mega moon rocket arrived at launch pad for the Artemis II mission.
47,Can plastic-eating fungi help clean up nappy waste? We sure hope so.,5 ways plastic-eating fungi are helping clean up nappy waste
48,"COP30: Trump and many leaders are skipping it, so does it matter?",cOP30
49,Labour wants to shake up the police – because that always works perfectly,Labour wants to shake up the police.
50,Nasa announces change to its Moon landing plans - again,nasa announced a change to its Moon landing plans.
51,Is fuel support really going to the right places for once?,trump wants fuel support
52,"Finally, the clitoris is getting the attention it deserves",the clitoris
53,Why is gaming becoming so expensive? The answer is found in AI... again,why is gaming becoming so expensive?
54,Milan Protesters Rally Against an Environmentally and Economically “Totally Sustainable” Winter Olympics,Milan protesters are rallying against an environmentally and Economically “totally sustainable” winter Olympics.
55,Just a Reminder: Racism is not rivalry. It is a crime,a reminder that racism is not a rivalry
56,"In a Shocking Twist, an Italian Court Says Netflix Can’t Just Raise Prices However It Wants—and Orders Refunds",in an Italian court rules netflix can't raise prices
57,"SpaceX delays next Starship test launch by a month, because of course it does, Musk says",spaceX delays the next Starship test launch by a month.
58,How to survive relatives when they ask personal questions you don't want to answer,how to survive relatives when they ask personal questions you don't want to answer.
59,"Rising fuel costs drives changes in driving lessons, surprising none",Rising fuel costs are driving changes in driving lessons.
60,"Faced with new energy shock, Europe finally asks if reviving nuclear is the answer","faced with new energy shock, Europe is questioning whether reviving nuclear is the answer."
61,"Claude Code users hitting usage limits 'way faster than expected', expectedly",Claude Code users are hitting usage limits 'way faster than expected'
62,Thousands lose their jobs in unseen deep cuts at tech giant Oracle,Thousands lose their jobs in deep cuts at tech giant Oracle.
63,What could six fictional voters teach us about how social media really works? Subscrible to find out,6 fictional voters
64,"First stop, the Moon. Next stop, Mars? Why Nasa's mission (probably) matters","first stop, the moon. next stop, mars."
65,Who knew Lord Sugar is a table tennis fan? Not us, lord sugar is a table tennis fan.
66,Your Daily Reminder: 'Women's health must be taken more seriously',your daily reminder
67,Lab-grown food pipe offers (non-pipe) dream for young patients... hopefully,Lab-grown food pipe offers a dream for young patients.
68,"Another 58 babies lost to poor NHS care, BBC finds","another 58 babies were lost to poor NHS care, BBC found."
69,Surprise! Sleep has effects that extend far beyond the private sphere',
70,Racist backlash against newly elected French officials... again,Racist backlash against newly elected french officials
71,Tax reassessments finally target wealthy French who pay no income tax,Tax reassessments target wealthy French who pay no income tax.
72,"In one month of war, oil production has plunged, to no one's surprise","in one month of war, oil production has plunged"
73,"Why We All Keep Nostalgically Yearning for 2016, for Some Mysterious Reason",why we all keep yearning for 2016
74,"Transmission network already threatened by climate hazards, data shows, of course",The transmission network is already threatened by climate hazards.
