id,input,output,Strategy(just pasted from other sheet),Nguyen checking Sarcasm removed,Andrew checking if sarcasm removed,meaning_change,
1,NASA Plays Incredible April Fools' Joke Of Once Again Pretending To Go To The Moon,nasa plays April Fools' joke of pretending to go to the moon.,satire,0,0,0,That is still clearly mocking NASA
2,"Pope Leo Explains God Does Not Listen To People Who Wage War So Long As You Don’t Count Moses, David, Joshua, Elijah, Saul, Gideon, Samson, Or Anyone Else In Bible",pope leo explains that God does not listen to people who wage war,satire,1,1,0,"I feel a bit changing lol, like hmm, ..."
3,Black Half Of Tiger Woods Tased By Cops After Asian Half Crashes Car,Black half of tiger Woods was tased by cops after Asian half Crashes a car.,satire,0,0,0,
4,Report: The Reason TV Shows Take So Long To Make Now Is Because They Film In The Dark,report indicates that the reason TV shows take so long to make now is because they are,irony,0,0,1,
5,"BREAKING: United Nations praises Singapore for having numerous political scandals:  ""They're behaving normally now""",BREAKING: the united Nations praises Singapore for numerous political scandals.,satire,0,0,0,
6,CAMPUS BEAT: NUS enters Top 10 in ranking of world's universities who base their identity on their rankings,NCUS entered the top 10 in a ranking of world's universities who base their identity on their rankings.,satire,0,0,1,"what is even ncus, bruh "
7,"Opinion: An open letter to Donald Trump, bird enthusiast",opinion: an open letter to don trump and bird enthusiast,irony,0,0,0,still can understand didnt change meaning 
8,Karoline Leavitt said Americans were smart enough not to accept the word of a constantly lying regime and the jokes really did write themselves,Karoline Leavitt said Americans were not smart enough to accept the word of a constantly lying regime and the jokes were written themselves.,sarcasm,0,0,1,
9,Surprise! Big Tech has been a bit rubbish at enforcing Australia’s kids social media ban,big tech is failing to enforce Australia's children social media ban.,irony,1,1,0,
10,Microsoft startup credits are the gift that keeps on billing unsuspecting users,microsoft startup credits are the gift that keeps on billing unsuspecting users.,sarcasm,0,0,0,
11,Smart mirror shows dumb Windows in elevator,A smart mirror shows Windows in the elevator.,irony,1,1,1,It really changed meaning I think
12,"AIOps is so powerful, vendors are building tools to clean up after agents break your infrastructure",AIOps is helping vendors clean up after agents break your infrastructure.,sarcasm,1,1,0,
13,Google presses play on 30-second Gemini musical slop generator,google presses play on a 30-second Gemini musical slop generator.,overstatement,0,0,0,
14,Microsoft's Valentine's gift to admins: 6 exploited zero-day fixes,microsoft's valentine's gift to admins,sarcasm,0,0,1,
15,"Microsoft actually does something useful, adds Sysmon to Windows",microsoft added sysmon to Windows.,sarcasm,1,1,0,
16,"For once, Supermicro has dodged drama and just delivered datacenters",supermicro delivered datacenters,sarcasm,1,1,0,
17,"Firefox makes AI optional, like it probably should have been all along",firefox makes AI optional,sarcasm,1,1,0,
18,Microsoft's 'atypical' emergency Windows patches are becoming awfully typical,microsoft's emergency Windows patches are becoming more common.,sarcasm,1,1,0,
19,Experiment suggests AI chatbot would save insurance agents a whopping 3 minutes a day,Experiment suggests AI chatbot would save insurance agents a whopping 3 minutes a day.,overstatement,0,0,0,
20,The Rule Of Law Joins America’s Dead Pets On The Rainbow Bridge,the rule of law will join america's dead pets on the rainbow bridge.,overstatement,0,0,0,
21,ABA Politely Tells President He Can’t Insult Judges Because He Lost Bigly,aBA tells president he cannot Insult judges because he lost,understatement,1,1,0,
22,ICE Can Bust Into Houses Without Warrants Based On Memo So Cool And Legal They Keep It Hidden,ICE can bust into houses without warrants based on memo.,sarcasm,1,1,0,
23,Trump Wants To Regulate AI On A National Basis — Because What Could Go Wrong There?,trump wants to regulate AI on a national Basis,rhetorical_question,1,1,0,
24,Maybe That Whole ‘Vetting’ Thing Is Actually A Pretty Big Deal,,sarcasm,0,0,1,
25,Trump Defends Sacred Right To Starve Kids For Separation Of Powers,trump defended the Sacred Right to Starve Kids for Separation of Powers.,satire,0,0,0,
26,The 4th TikTok Delay Is The Charm!,the 4th tikTok delay,sarcasm,1,1,0,
27,Kash Patel Makes FBI Great Again By Getting It Sued,kash p Patel makes the fbi great again,sarcasm,0,0,1,
28,"Surprise, Surprise, The TikTok Ban Is Delayed A Third Time",,sarcasm,0,0,1,even failed to output -> meaning changed 
29,"ICE Arrests Newark Mayor For … Ummm, Body Slam?",ICE arrested the new nark mayor for body slam.,irony,1,1,1,"if it really body slam, then it kinda change meaning already, cause the first it's kind of joke right Because the original has sarcastic disbelief (“…Ummm”), while the modified version removes that tone."
30,Trump Dumps Ed Martin In Favor Of ‘Shit Sandwich Senate Will Eat’,trump dumps ed Martin in favor of 'Shit Sandwich Senate will eat'.,sarcasm,0,0,0,
31,Even Alan Dershowitz Thinks Trump’s Latest Idea Is Unconstitutional,Alan Dershowitz believes trump's latest idea is unconstitutional.,irony,1,1,0,good one 
32,"Perhaps The Greatest Stock Market Correction Ever, Truly Terrific, Remember To Thank Your FAVORITE PRESIDENT!",the greatest stock market correction,sarcasm,1,1,1,"seem like no ""strong word"" anymore, but when put into right context it's still kinda sacarism ?"
33,Pam Bondi’s Brother And Ed Martin’s Assistant Running To Lead D.C. Bar… No Way This Is A Bad Idea!,pam bondi's brother and ed Martin’s assistant are running to lead a d.C. bar.,sarcasm,1,1,0,
34,God squad' waives animal protections to expand oil drilling in Gulf of Mexico,God squad waives animal protections to expand oil drilling in the Gulf of Mexico.,satire,0,0,0,"""God squad"" is itself an ironic nickname
changed to align with t5 base "
35,Fewer heat-related deaths in 2025; warmest summer ever packing less heat?,fewer heat-related deaths in 2025,rhetorical_question,1,1,1,
36,Comedians tell ministers lack of funding is no laughing matter,Comedians tell ministers that lack of funding is no laughing matter.,irony,0,0,0,
37,"Meta knowingly harmed children's mental health, US jury finally decides in landmark ruling","Meta knowingly harmed children's mental health, a US jury ruled in a landmark ruling.",sarcasm,1,1,0,
38,"Trump’s FBI Pick Has Some, Erm, Interesting Entries On His Resume",trump's fbi pick,irony,1,1,1,changed to align with t5 base human evaluation
39,Alina Habba Did What She Does Best (Lie),alina habba did,sarcasm,0,0,1,
40,"New year, new bug – rivalry between devs led to a deep-code disaster","new year, new bug",understatement,0,0,1,
41,Microsoft puts the 'why?' in Wi-Fi with latest Windows patch,microsoft puts the 'why?' in Wi-Fi with the latest Windows patch.,sarcasm,0,0,0,
42,End of Windows 10 support is the perfect time for the Windows 11 installer to fail,End of Windows 10 support will cause the Windows 11 installer to fail.,sarcasm,1,1,1,Real semantic shift I think
43,PLACEHOLDER ONLY Someone please write witty headline here,,irony,0,0,1,even failed to output -> meaning changed 
44,"Caffeine pouch craze: A teenage trend, unsurprisingly, troubling some experts",caffeine pouch craze,sarcasm,1,1,1,
45,Union and government to restart talks on ending doctor dispute (again),Union and government will restart talks on ending a doctor dispute.,irony,1,1,0,
46,"Nasa's mega Moon rocket arrives at launch pad for Artemis II mission, hopefully to launch",nasa's mega moon rocket arrived at launch pad for the Artemis II mission.,irony,1,1,0,
